Rk,School,Conf,,AP Rank,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
52,Seton Hall,Big East,,,14,13,71.3,69.7,1.59,,10.45,,5.56,6.48,12.04,111.04,93.48,17.57
53,Mississippi,SEC,,,16,11,69.1,63.4,5.70,,6.32,,-0.16,12.18,12.02,106.06,88.12,17.95
54,Xavier,Big East,,,13,8,74.8,70.2,4.62,,7.33,,6.85,5.10,11.95,110.74,93.57,17.17
55,Georgetown,Big East,,,13,12,71.4,70.7,0.68,,11.05,,5.68,6.05,11.73,108.04,91.04,17.00
56,Utah State,MWC,,,20,8,73.3,62.3,11.04,,0.76,,2.69,8.56,11.25,105.85,89.29,16.56
57,Louisville,ACC,,,13,7,68.0,66.5,1.45,,9.74,,2.35,8.84,11.19,110.15,93.09,17.06
58,Southern Methodist,AAC,,,11,5,74.1,67.1,7.00,,4.14,,6.45,4.69,11.14,109.79,93.88,15.91
59,Michigan State,Big Ten,,,15,12,69.0,70.6,-1.52,,12.54,,3.98,7.04,11.02,107.82,92.23,15.60
60,Northwestern,Big Ten,,,9,15,70.3,70.0,0.21,,12.92,,4.08,6.80,10.88,106.89,91.53,15.36
61,Davidson,A-10,,,13,8,72.3,63.6,8.67,,3.99,,3.25,7.34,10.59,114.92,98.83,16.09
62,Auburn,SEC,,,13,14,77.2,76.4,0.74,,9.53,,10.03,0.24,10.27,111.47,96.24,15.23
63,St. John's (NY),Big East,,,16,11,79.0,76.7,2.22,,8.05,,12.81,-2.54,10.27,111.19,96.26,14.92
64,North Carolina State,ACC,,,13,10,73.2,70.3,2.96,,7.21,,5.95,4.22,10.17,111.11,95.98,15.13
65,Providence,Big East,,,13,13,69.8,69.7,0.12,,9.81,,3.97,5.96,9.93,108.38,94.00,14.37
66,Boise State,MWC,,,18,8,76.2,66.3,9.85,,0.85,,5.71,3.90,9.61,108.96,95.13,13.84
67,Drake,MVC,,,25,4,77.4,64.7,12.76,,-1.63,,6.23,3.32,9.55,113.89,99.02,14.87
68,Richmond,A-10,,,13,8,75.0,69.2,5.76,,5.55,,6.06,3.49,9.55,111.55,97.01,14.54
69,Wichita State,AAC,,,16,5,72.4,67.4,4.95,,6.80,,5.95,3.48,9.43,109.77,95.57,14.20
70,Utah,Pac-12,,,12,13,72.1,69.8,2.32,,7.06,,5.44,3.93,9.38,111.10,97.24,13.86
71,Marquette,Big East,,,13,14,69.7,69.8,-0.07,,9.35,,3.45,5.82,9.27,108.33,95.24,13.09
72,Mississippi State,SEC,,,15,14,68.9,66.6,2.24,,6.71,,1.60,7.34,8.95,107.30,93.97,13.33
73,Pittsburgh,ACC,,,10,12,71.2,70.1,1.05,,7.73,,4.84,3.94,8.77,109.45,96.51,12.94
74,Notre Dame,ACC,,,11,15,72.7,74.3,-1.65,,10.40,,7.10,1.65,8.74,115.14,101.85,13.29
75,Colorado State,MWC,,,18,6,74.6,65.5,9.17,,-0.45,,4.33,4.27,8.59,107.68,94.86,12.82
76,Stanford,Pac-12,,,14,13,69.7,69.6,0.15,,7.96,,3.19,4.92,8.11,104.54,92.81,11.73
77,Wright State,Horizon,,,18,6,82.0,67.4,14.54,,-6.82,,6.00,1.73,7.73,106.46,95.70,10.76
78,Toledo,MAC (West),,,21,8,81.6,72.5,9.10,,-1.48,,9.02,-1.40,7.62,111.87,100.94,10.93
79,Oregon State,Pac-12,,,17,12,70.7,68.3,2.34,,7.69,,2.00,5.54,7.55,110.14,98.49,11.65
80,Buffalo,MAC (East),,,16,8,81.7,72.8,8.88,,-1.02,,9.04,-1.55,7.50,106.16,96.07,10.09
81,Saint Mary's (CA),WCC,,,14,9,64.1,62.3,1.78,,5.69,,-6.07,13.54,7.47,101.47,90.01,11.46
82,Dayton,A-10,,,14,9,70.2,67.7,2.52,,4.88,,3.01,4.39,7.40,109.47,97.91,11.56
