Rk,School,Conf,,AP Rank,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
220,Morgan State,MEAC,,,14,8,79.8,73.0,6.77,,-10.13,,1.16,-6.60,-5.45,98.85,105.10,-6.25
221,Radford,Big South,,,15,12,67.6,64.6,3.00,,-6.00,,-7.33,1.73,-5.60,96.52,104.49,-7.97
222,Citadel,Southern,,,13,12,80.8,78.4,2.40,,-0.99,,6.13,-11.74,-5.61,102.97,109.97,-7.00
223,Nicholls State,Southland,,,18,7,78.4,73.2,5.16,,-9.15,,0.78,-6.43,-5.65,96.77,104.15,-7.38
224,South Alabama,Sun Belt,,,17,11,74.1,70.9,3.21,,-5.49,,-1.80,-3.86,-5.66,101.42,108.71,-7.30
225,Long Island University,NEC,,,9,9,74.0,72.9,1.06,,-6.80,,-1.01,-4.73,-5.74,93.74,101.97,-8.23
226,Northern Kentucky,Horizon,,,14,11,71.4,71.2,0.12,,-6.07,,-4.09,-1.86,-5.95,101.43,109.07,-7.65
227,North Carolina-Wilmington,CAA,,,7,10,76.3,73.7,2.59,,-5.69,,0.82,-6.89,-6.07,102.51,109.72,-7.21
228,Austin Peay,OVC,,,14,13,74.3,70.0,4.33,,-7.85,,-2.04,-4.25,-6.29,101.92,110.20,-8.29
229,Campbell,Big South,,,17,10,71.0,68.1,2.85,,-6.81,,-5.00,-1.29,-6.29,101.13,108.33,-7.21
230,Little Rock,Sun Belt,,,11,15,68.7,68.5,0.15,,-5.35,,-4.18,-2.14,-6.31,97.51,106.11,-8.60
231,California Baptist,WAC,,,13,10,79.1,72.8,6.35,,-6.21,,3.00,-9.43,-6.42,104.00,111.93,-7.93
232,North Carolina-Asheville,Big South,,,10,10,73.4,72.8,0.60,,-7.05,,-0.70,-5.74,-6.45,99.00,107.79,-8.79
233,San Diego,WCC,,,3,11,66.2,77.1,-10.86,,4.36,,-3.59,-2.90,-6.49,95.08,102.78,-7.70
234,Seattle,WAC,,,12,11,72.9,68.6,4.30,,-4.92,,-3.91,-2.75,-6.66,95.07,103.23,-8.16
235,Niagara,MAAC,,,9,11,64.7,65.2,-0.55,,-6.29,,-7.23,0.38,-6.84,98.75,107.34,-8.59
236,Milwaukee,Horizon,,,10,12,75.5,76.3,-0.73,,-6.16,,0.63,-7.51,-6.88,100.38,109.60,-9.22
237,Southern Mississippi,CUSA,,,8,17,64.2,66.7,-2.52,,-2.10,,-7.93,1.05,-6.88,92.32,101.75,-9.43
238,Lipscomb,A-Sun,,,15,12,71.2,68.4,2.74,,-5.49,,-4.36,-2.57,-6.92,99.42,108.14,-8.73
239,Western Carolina,Southern,,,11,16,75.5,78.9,-3.33,,-1.52,,1.14,-8.06,-6.92,98.98,108.12,-9.15
240,Montana State,Big Sky,,,13,10,74.0,72.0,2.09,,-5.97,,-2.89,-4.07,-6.97,97.23,106.75,-9.51
241,Merrimack,NEC,,,9,9,66.3,66.7,-0.39,,-6.66,,-9.54,2.49,-7.04,91.47,100.74,-9.27
242,Texas-Arlington,Sun Belt,,,13,13,73.7,70.3,3.42,,-4.55,,-2.63,-4.58,-7.20,96.67,105.96,-9.29
243,UC-Davis,Big West,,,10,8,71.9,71.6,0.33,,-5.68,,-3.21,-4.06,-7.27,95.46,104.12,-8.67
244,New Hampshire,AEC,,,10,9,67.3,66.6,0.63,,-5.83,,-5.76,-1.57,-7.33,95.95,106.02,-10.07
245,Longwood,Big South,,,12,16,66.2,67.4,-1.14,,-6.27,,-7.85,0.51,-7.34,95.77,105.42,-9.65
246,Stetson,A-Sun,,,11,14,72.0,70.7,1.32,,-4.57,,-2.24,-5.15,-7.38,99.86,109.08,-9.22
247,Texas Southern,SWAC,,,16,8,74.8,69.7,5.13,,-10.96,,-1.56,-5.92,-7.48,95.87,105.48,-9.60
248,Cal State Fullerton,Big West,,,6,10,77.0,78.6,-1.56,,-4.57,,2.76,-10.60,-7.84,101.31,110.71,-9.40
249,Canisius,MAAC,,,7,6,70.4,71.2,-0.77,,-7.10,,-1.61,-6.26,-7.87,97.64,107.86,-10.22
250,Portland State,Big Sky,,,9,13,68.7,66.5,2.23,,-6.22,,-7.79,-0.09,-7.88,90.06,100.42,-10.36
251,Arkansas State,Sun Belt,,,11,13,72.5,69.5,3.08,,-5.86,,-4.23,-3.72,-7.96,97.70,108.05,-10.35
252,Northern Colorado,Big Sky,,,11,11,70.5,69.0,1.45,,-5.56,,-4.82,-3.21,-8.03,95.77,106.74,-10.97
253,Tarleton State,WAC,,,10,10,73.4,62.3,11.05,,-3.91,,-8.67,0.49,-8.17,96.49,106.86,-10.37
254,Marist,MAAC,,,12,9,63.4,63.6,-0.19,,-8.07,,-9.93,1.67,-8.26,90.31,101.56,-11.25
255,St. Francis (NY),NEC,,,9,10,77.7,79.5,-1.84,,-6.42,,3.97,-12.24,-8.26,101.07,111.61,-10.53
256,Quinnipiac,MAAC,,,9,13,67.5,69.0,-1.50,,-6.82,,-5.18,-3.14,-8.32,90.25,101.27,-11.03
257,Fairleigh Dickinson,NEC,,,9,15,75.0,78.8,-3.71,,-4.69,,2.01,-10.41,-8.40,100.37,111.55,-11.18
258,Oakland,Horizon,,,12,18,74.7,81.2,-6.53,,-1.91,,1.73,-10.17,-8.44,101.01,111.51,-10.50
259,Saint Francis (PA),NEC,,,6,16,68.9,73.4,-4.50,,-3.97,,-4.19,-4.28,-8.47,94.53,106.12,-11.59
260,Prairie View,SWAC,,,16,5,71.3,64.2,7.05,,-15.54,,-6.67,-1.82,-8.49,92.92,103.16,-10.24
261,UC-San Diego,Big West,,,7,10,71.4,72.1,-0.71,,-0.58,,-0.90,-7.61,-8.51,99.81,110.98,-11.17
262,Samford,Southern,,,6,13,76.8,79.5,-2.63,,-1.24,,0.11,-8.65,-8.54,94.75,105.43,-10.68
263,Lehigh,Patriot,,,4,11,68.3,76.6,-8.27,,-0.45,,-5.34,-3.38,-8.72,93.36,106.42,-13.07
264,Youngstown State,Horizon,,,15,12,74.4,72.2,2.22,,-7.33,,-2.54,-6.39,-8.94,100.39,112.30,-11.91
265,NJIT,AEC,,,7,12,66.1,70.2,-4.05,,-4.94,,-4.82,-4.17,-8.99,94.70,107.02,-12.32
266,Towson,CAA,,,4,14,67.4,74.9,-7.50,,-1.52,,-4.37,-4.64,-9.02,98.78,111.74,-12.96
267,Sacramento State,Big Sky,,,8,12,72.2,72.1,0.05,,-4.97,,-3.92,-5.16,-9.08,100.17,112.98,-12.81
268,Green Bay,Horizon,,,8,17,71.6,76.5,-4.92,,-4.40,,-2.89,-6.44,-9.32,99.08,111.30,-12.22
269,Florida Gulf Coast,A-Sun,,,10,8,71.8,69.0,2.78,,-6.97,,-5.66,-3.81,-9.47,90.86,103.32,-12.46
270,Georgia Southern,Sun Belt,,,13,13,71.5,67.8,3.77,,-5.79,,-6.83,-2.91,-9.75,91.83,105.27,-13.44
271,Idaho State,Big Sky,,,13,11,68.2,61.7,6.50,,-7.11,,-12.01,2.22,-9.80,90.33,103.78,-13.45
272,Southeast Missouri State,OVC,,,11,16,69.0,71.7,-2.67,,-7.16,,-4.59,-5.24,-9.83,93.21,106.61,-13.40
273,North Alabama,A-Sun,,,13,11,73.2,69.4,3.75,,-6.11,,-4.23,-5.63,-9.86,93.53,106.61,-13.09
274,Cal State Long Beach,Big West,,,6,12,73.8,79.4,-5.67,,-4.23,,1.36,-11.26,-9.90,95.76,107.69,-11.93
275,High Point,Big South,,,9,15,66.7,69.9,-3.21,,-6.98,,-7.55,-2.64,-10.19,94.56,108.43,-13.87
276,Cal State Northridge,Big West,,,9,13,72.1,77.7,-5.59,,-3.48,,-0.74,-9.46,-10.20,98.88,112.03,-13.15
277,Texas-Rio Grande Valley,WAC,,,9,10,72.4,67.7,4.68,,-5.82,,-7.84,-2.39,-10.22,88.05,101.64,-13.59
278,Sacred Heart,NEC,,,9,9,70.3,75.0,-4.72,,-5.51,,-3.64,-6.59,-10.23,97.10,111.73,-14.63
279,William & Mary,CAA,,,7,10,64.8,72.0,-7.24,,-3.09,,-6.17,-4.15,-10.32,92.03,107.34,-15.30
280,Fordham,A-10,,,2,12,51.8,66.6,-14.79,,4.26,,-17.19,6.67,-10.52,84.20,99.62,-15.42
281,Middle Tennessee,CUSA,,,5,18,62.0,70.7,-8.74,,-0.57,,-8.26,-2.31,-10.57,90.03,103.82,-13.79
282,Western Michigan,MAC (West),,,5,16,63.1,72.0,-8.86,,-0.31,,-10.11,-0.50,-10.61,91.64,106.17,-14.53
283,Louisiana-Monroe,Sun Belt,,,7,19,64.2,68.9,-4.69,,-5.95,,-8.55,-2.09,-10.64,91.96,106.48,-14.52
284,Fairfield,MAAC,,,10,17,61.8,66.7,-4.89,,-5.84,,-9.69,-1.04,-10.73,93.53,108.53,-15.00
285,IUPUI,Horizon,,,8,10,71.2,75.8,-4.61,,-6.21,,-3.78,-7.04,-10.82,93.72,107.61,-13.89
286,Jacksonville,A-Sun,,,11,13,67.6,69.5,-1.92,,-6.55,,-7.75,-3.21,-10.95,91.62,106.15,-14.53
287,North Dakota,Summit,,,9,17,68.7,75.7,-7.00,,-3.95,,-5.45,-5.51,-10.95,94.22,108.85,-14.63
288,Florida International,CUSA,,,9,17,73.6,76.3,-2.73,,-3.04,,-1.95,-9.04,-10.99,96.16,110.50,-14.34
289,New Orleans,Southland,,,10,15,76.0,76.4,-0.44,,-9.91,,-0.79,-10.29,-11.07,94.49,108.82,-14.33
290,North Florida,A-Sun,,,8,15,69.6,75.0,-5.39,,-4.35,,-4.32,-6.88,-11.20,98.73,113.81,-15.09
291,Coppin State,MEAC,,,9,13,72.8,79.1,-6.32,,-4.99,,-2.16,-9.15,-11.30,88.94,102.78,-13.84
292,Illinois-Chicago,Horizon,,,9,13,67.7,72.3,-4.64,,-6.67,,-8.24,-3.07,-11.31,90.87,105.86,-14.99
293,Purdue-Fort Wayne,Horizon,,,8,15,75.1,78.7,-3.52,,-7.80,,-0.33,-10.99,-11.32,98.36,114.11,-15.75
294,Binghamton,AEC,,,4,14,65.4,72.3,-6.89,,-4.56,,-5.41,-6.04,-11.45,96.18,112.24,-16.06
295,Manhattan,MAAC,,,7,13,63.4,67.3,-3.85,,-7.65,,-9.34,-2.16,-11.50,88.05,103.39,-15.34
296,Jackson State,SWAC,,,12,6,65.6,62.8,2.78,,-14.33,,-11.40,-0.14,-11.55,86.18,100.51,-14.34
297,Rider,MAAC,,,6,17,67.5,74.0,-6.48,,-5.07,,-3.80,-7.75,-11.55,98.22,114.06,-15.84
298,Central Michigan,MAC (West),,,7,16,76.8,79.8,-3.00,,-3.41,,-0.05,-11.52,-11.56,97.34,112.58,-15.24
299,Troy,Sun Belt,,,11,17,65.3,69.4,-4.04,,-3.63,,-9.52,-2.11,-11.63,89.53,105.76,-16.24
300,Florida A&M,MEAC,,,8,12,65.7,68.5,-2.80,,-9.16,,-10.99,-0.97,-11.96,87.65,102.87,-15.22
301,Eastern Illinois,OVC,,,9,18,69.4,74.9,-5.52,,-6.75,,-5.21,-7.06,-12.27,92.79,109.48,-16.69
302,Robert Morris,Horizon,,,4,15,72.3,78.6,-6.32,,-4.70,,-3.52,-8.85,-12.37,96.57,113.73,-17.16
303,New Mexico,MWC,,,6,16,65.3,71.7,-6.45,,-1.77,,-9.70,-2.71,-12.42,88.91,106.04,-17.13
304,Western Illinois,Summit,,,7,15,73.0,79.4,-6.36,,-4.98,,-3.01,-9.83,-12.84,94.08,110.54,-16.45
305,Air Force,MWC,,,5,20,58.7,71.9,-13.20,,0.17,,-12.01,-1.02,-13.04,93.98,113.51,-19.54
306,Hampton,Big South,,,11,14,68.8,73.2,-4.40,,-8.65,,-5.06,-7.99,-13.05,92.88,110.87,-17.99
307,Central Connecticut State,NEC,,,5,16,68.5,77.4,-8.86,,-4.22,,-4.74,-8.34,-13.08,92.26,109.70,-17.44
308,South Carolina Upstate,Big South,,,5,18,65.9,74.4,-8.57,,-4.63,,-6.31,-6.83,-13.13,93.39,111.09,-17.70
309,Omaha,Summit,,,5,20,67.3,78.0,-10.64,,-2.53,,-5.15,-8.02,-13.17,91.25,108.64,-17.39
310,Lamar,Southland,,,10,18,65.8,72.4,-6.54,,-6.71,,-8.43,-4.82,-13.24,90.58,107.40,-16.82
311,Eastern Michigan,MAC (West),,,6,12,70.4,75.7,-5.28,,-0.33,,-5.84,-7.49,-13.33,94.88,112.95,-18.07
312,Presbyterian,Big South,,,7,15,64.1,67.1,-2.95,,-8.46,,-11.54,-1.88,-13.41,89.41,108.12,-18.71
313,Tennessee Tech,OVC,,,5,22,66.6,76.9,-10.30,,-3.34,,-6.21,-7.43,-13.63,93.40,111.76,-18.37
314,Tennessee State,OVC,,,4,19,68.4,74.0,-5.61,,-6.79,,-7.38,-6.27,-13.65,87.88,106.13,-18.25
315,Southern,SWAC,,,8,11,69.8,70.3,-0.42,,-13.28,,-6.85,-6.86,-13.71,89.54,106.60,-17.07
316,Northwestern State,Southland,,,11,18,72.6,79.7,-7.10,,-5.22,,-2.74,-11.02,-13.76,94.31,111.68,-17.37
317,Howard,MEAC,,,1,4,72.6,84.8,-12.20,,-2.05,,-0.13,-13.67,-13.80,96.01,114.64,-18.63
318,North Carolina A&T,MEAC,,,11,10,72.2,72.5,-0.29,,-7.63,,-4.63,-9.21,-13.84,91.65,108.63,-16.98
319,Kennesaw State,A-Sun,,,5,19,65.5,69.7,-4.21,,-3.46,,-10.35,-3.59,-13.93,86.87,106.13,-19.26
320,Portland,WCC,,,6,15,69.5,83.2,-13.76,,3.67,,-1.87,-12.13,-13.99,95.88,114.92,-19.04
321,Northern Arizona,Big Sky,,,6,16,63.2,74.5,-11.36,,-2.86,,-9.40,-4.82,-14.22,95.08,115.84,-20.75
322,SIU Edwardsville,OVC,,,9,17,65.7,73.0,-7.23,,-5.61,,-8.96,-5.57,-14.53,90.60,110.52,-19.92
323,Grambling,SWAC,,,12,12,67.4,68.7,-1.33,,-13.00,,-8.77,-6.01,-14.78,89.11,108.49,-19.38
324,Maine,AEC,,,2,7,53.1,64.6,-11.44,,-3.43,,-18.41,3.53,-14.87,81.33,102.32,-20.99
325,Dixie State,WAC,,,8,13,69.6,76.3,-6.76,,-4.40,,-5.42,-9.55,-14.97,89.28,108.12,-18.84
326,Cal Poly,Big West,,,4,20,61.5,70.8,-9.29,,-2.94,,-12.25,-2.73,-14.98,86.58,106.89,-20.32
327,Central Arkansas,Southland,,,5,19,70.9,80.5,-9.67,,-2.17,,-3.20,-11.84,-15.04,94.50,113.34,-18.84
328,North Carolina Central,MEAC,,,5,9,67.3,71.6,-4.36,,-8.11,,-9.29,-6.05,-15.34,91.02,112.01,-20.99
329,Incarnate Word,Southland,,,8,14,68.0,71.7,-3.77,,-8.51,,-11.16,-4.93,-16.09,91.93,113.16,-21.23
330,Charleston Southern,Big South,,,3,18,65.5,73.8,-8.33,,-5.68,,-9.32,-6.86,-16.18,87.31,109.14,-21.83
331,Houston Baptist,Southland,,,6,19,71.0,80.3,-9.24,,-5.94,,-3.93,-13.01,-16.94,90.87,112.52,-21.65
332,Texas A&M-Corpus Christi,Southland,,,5,19,64.8,71.5,-6.75,,-6.29,,-9.93,-7.02,-16.95,87.36,109.76,-22.39
333,Northern Illinois,MAC (West),,,3,16,62.3,77.4,-15.11,,-1.92,,-11.26,-5.76,-17.02,89.02,112.70,-23.69
334,Denver,Summit,,,2,19,69.8,79.1,-9.33,,-6.61,,-4.87,-12.34,-17.21,91.24,114.66,-23.42
335,San Jose State,MWC,,,5,16,65.8,81.4,-15.67,,0.98,,-3.89,-13.71,-17.60,91.94,114.43,-22.49
336,Southeastern Louisiana,Southland,,,8,18,68.3,77.7,-9.38,,-8.24,,-8.69,-8.93,-17.62,88.58,111.68,-23.11
337,McNeese State,Southland,,,10,14,80.3,71.8,8.54,,-11.61,,-7.45,-11.05,-18.50,92.85,117.20,-24.35
338,Tennessee-Martin,OVC,,,8,16,65.5,77.0,-11.50,,-5.49,,-9.58,-9.44,-19.02,90.28,116.37,-26.08
339,Alabama A&M,SWAC,,,6,9,63.3,67.2,-3.87,,-15.39,,-15.00,-4.25,-19.25,81.19,107.33,-26.14
340,Idaho,Big Sky,,,1,21,61.0,76.5,-15.41,,-4.38,,-11.67,-8.11,-19.79,86.96,115.32,-28.36
341,Alcorn State,SWAC,,,6,13,66.1,75.6,-9.53,,-10.45,,-9.21,-10.76,-19.97,89.23,114.25,-25.02
342,Arkansas-Pine Bluff,SWAC,,,4,21,62.0,76.8,-14.88,,-8.02,,-11.42,-11.47,-22.90,86.78,117.54,-30.77
343,Delaware State,MEAC,,,3,16,70.8,85.7,-14.95,,-5.25,,-5.14,-17.88,-23.02,88.61,116.88,-28.27
344,South Carolina State,MEAC,,,1,17,61.2,78.6,-17.33,,-7.03,,-11.05,-13.32,-24.36,82.91,115.61,-32.70
345,Alabama State,SWAC,,,4,14,64.2,71.6,-7.33,,-17.41,,-14.26,-10.48,-24.74,80.53,112.80,-32.27
346,Chicago State,WAC,,,0,9,55.4,88.7,-33.22,,1.94,,-14.71,-16.58,-31.29,80.28,122.03,-41.75
347,Mississippi Valley State,SWAC,,,2,22,56.8,87.4,-30.54,,-8.01,,-16.68,-21.88,-38.55,75.83,125.82,-49.99
348,Brown,Ivy,,,0,0,,,,,,,,,,,,
349,Columbia,Ivy,,,0,0,,,,,,,,,,,,
350,Cornell,Ivy,,,0,0,,,,,,,,,,,,
351,Dartmouth,Ivy,,,0,0,,,,,,,,,,,,
352,Harvard,Ivy,,,0,0,,,,,,,,,,,,
353,Maryland-Eastern Shore,MEAC,,,0,0,,,,,,,,,,,,
354,Pennsylvania,Ivy,,,0,0,,,,,,,,,,,,
355,Princeton,Ivy,,,0,0,,,,,,,,,,,,
356,Yale,Ivy,,,0,0,,,,,,,,,,,,
